"","location","species","time"
"1955","SU68","Species 13",2
"1957","TQ34","Species 13",1
"1958","ST57","Species 13",2
"1959","SK66","Species 13",2
"1960","SP75","Species 13",2
"1961","SK90","Species 13",2
"1962","SP24","Species 13",1
"1963","SY09","Species 13",2
"1964","SX78","Species 13",2
"1965","SP37","Species 16",1
"1967","SU50","Species 13",1
"1969","SK58","Species 13",1
"1975","SP37","Species 13",1
"1976","SP27","Species 13",1
"1979","SO47","Species 13",2
"1981","SU95","Species 13",2
"1983","SY59","Species 13",2
"1984","SP03","Species 13",1
"1991","SJ34","Species 13",1
"1992","SN79","Species 13",1
"1997","SU94","Species 10",2
"1998","SK42","Species 13",1
"2000","SU33","Species 13",2
"2004","SU82","Species 13",1
"2006","TL84","Species 13",2
"2007","TQ44","Species 13",1
"2008","SP60","Species 13",1
"2009","TL27","Species 13",2
"2011","TQ47","Species 13",1
"2012","SP37","Species 13",1
"2019","SP03","Species 13",1
"2022","SU22","Species 13",2
"2024","TQ61","Species 13",1
"2026","TR34","Species 13",2
"2028","TL57","Species 16",2
"2030","SU94","Species 13",2
"2034","NM56","Species 13",1
"2036","ST57","Species 10",2
"2037","SN74","Species 13",2
"2038","TL10","Species 13",1
"2040","SX73","Species 13",2
"2042","SP25","Species 13",1
"2043","SN66","Species 13",1
"2044","SH76","Species 13",2
"2045","TQ53","Species 13",2
"2046","SZ59","Species 13",1
"2048","SO87","Species 13",1
"2049","TM02","Species 13",2
"2053","TQ15","Species 13",1
"2055","ST03","Species 13",2
"2056","SX78","Species 13",2
"2058","SU69","Species 13",1
"2059","TQ43","Species 13",2
"2060","ST70","Species 13",2
"2061","NX96","Species 13",1
"2064","TQ09","Species 13",1
"2066","SU82","Species 13",2
"2067","TQ44","Species 13",2
"2072","TQ49","Species 13",2
"2073","SN68","Species 13",1
"2074","TQ32","Species 13",2
"2076","TQ34","Species 13",2
"2078","SS53","Species 13",2
"2079","SP25","Species 13",1
"2081","SP47","Species 13",1
"2083","SJ50","Species 13",2
"2088","TF10","Species 13",2
"2093","NY22","Species 13",1
"2098","SU97","Species 13",1
"2099","SN79","Species 13",1
"2101","SU21","Species 13",2
"2103","TL97","Species 13",1
"2105","SN65","Species 13",1
"2112","SP37","Species 13",1
"2113","SP61","Species 13",1
"2114","SU33","Species 13",2
"2115","SE62","Species 13",1
"2117","SD47","Species 13",2
"2118","SU77","Species 10",2
"2119","SE60","Species 13",1
"2120","SS21","Species 13",2
"2121","SO34","Species 13",1
"2123","SU66","Species 13",2
"2126","SU42","Species 13",2
"2128","TL18","Species 13",1
"2129","TG11","Species 13",1
"2132","ST55","Species 13",1
"2134","SH61","Species 13",2
"2136","SP37","Species 13",1
"2138","SU08","Species 13",2
"2139","SO94","Species 10",1
"2143","SK58","Species 13",1
"2145","TL22","Species 13",2
"2146","TL09","Species 13",2
"2148","SN63","Species 13",1
"2149","SP37","Species 13",1
"2150","SK32","Species 13",1
"2151","SU67","Species 10",1
"2152","SP15","Species 13",1
"2154","SE58","Species 13",1
"2155","SK67","Species 13",1
"2157","TR04","Species 13",1
"2159","TQ16","Species 13",1
"2160","SE71","Species 13",2
"2161","SU47","Species 13",2
"2162","SU93","Species 13",1
"2164","SU94","Species 13",1
"2166","SP79","Species 16",1
"2167","SE70","Species 13",1
"2169","SK66","Species 13",2
"2171","TL28","Species 13",2
"2172","SU01","Species 13",2
"2173","SO47","Species 13",1
"2175","SX55","Species 13",2
"2178","TM47","Species 13",2
"2179","SN57","Species 13",1
"2180","SU08","Species 13",2
"2182","SO84","Species 10",2
"2183","SP50","Species 13",1
"2184","TG42","Species 13",1
"2186","SY98","Species 13",2
"2187","SN74","Species 13",1
"2188","SJ34","Species 13",2
"2189","SH61","Species 13",1
"2191","SU30","Species 13",2
"2193","SN57","Species 13",1
"2194","SY89","Species 13",1
"2196","ST99","Species 13",1
"2202","SS58","Species 13",1
"2203","SP41","Species 13",2
"2204","NX37","Species 13",2
"2207","TQ56","Species 10",1
"2208","TF90","Species 13",1
"2209","SU57","Species 13",2
"2210","SS21","Species 13",1
"2211","SX99","Species 13",2
"2215","TF47","Species 13",2
"2217","SU86","Species 13",2
"2219","TG42","Species 13",2
"2222","TG12","Species 13",1
"2223","TQ25","Species 13",1
"2225","TL28","Species 13",2
"2228","SU86","Species 13",2
"2232","SX99","Species 13",2
"2233","ST30","Species 13",2
"2234","SD47","Species 13",2
"2236","SP21","Species 13",1
"2238","SP37","Species 13",1
"2239","SP40","Species 13",1
"2241","SP37","Species 16",1
"2242","SU68","Species 13",2
"2243","SO41","Species 13",1
"2244","SZ49","Species 13",1
"2245","SH54","Species 13",1
"2247","SP36","Species 13",1
"2250","ST82","Species 13",2
"2251","SU56","Species 13",1
"2255","SK51","Species 13",1
"2256","SP60","Species 13",1
"2259","ST69","Species 13",2
"2261","SO86","Species 13",2
"2262","SP37","Species 13",1
"2264","SP17","Species 13",1
"2265","TL17","Species 13",1
"2267","SO14","Species 10",1
"2268","SZ19","Species 13",1
"2269","SK29","Species 13",1
"2270","TQ06","Species 13",1
"2273","SU77","Species 13",2
"2275","TL62","Species 13",2
"2276","SK90","Species 13",2
"2279","SU58","Species 13",2
"2284","ST76","Species 10",1
"2285","TF10","Species 13",2
"2286","SU11","Species 13",1
"2288","SU77","Species 13",1
"2290","SP37","Species 13",2
"2294","TG02","Species 13",1
"2296","SK70","Species 13",2
"2298","NZ15","Species 13",1
"2301","SP57","Species 13",1
"2302","NY13","Species 13",2
"2303","SK58","Species 13",1
"2304","SU49","Species 16",2
"2306","SK58","Species 13",1
"2307","SE62","Species 13",1
"2308","SN57","Species 13",1
"2312","SZ59","Species 13",1
"2313","SE98","Species 13",2
"2314","SP61","Species 13",1
"2315","NZ02","Species 13",1
"2316","SO30","Species 13",2
"2320","SP37","Species 13",2
"2322","TQ19","Species 13",2
"2325","SE50","Species 13",1
"2327","SX78","Species 13",2
"2328","SO82","Species 10",1
"2329","SO86","Species 13",1
"2331","SE68","Species 13",2
"2332","SK80","Species 13",1
"2334","SO02","Species 13",1
"2336","ST56","Species 13",2
"2338","SP80","Species 13",2
"2340","SN14","Species 13",1
"2341","SP37","Species 13",1
"2342","SP99","Species 13",2
"2343","SU49","Species 13",2
"2345","SP61","Species 13",2
"2346","TG31","Species 13",1
"2350","SP99","Species 13",1
"2351","SU46","Species 13",2
"2352","TL36","Species 10",1
"2355","SU78","Species 13",2
"2356","SP26","Species 13",1
"2357","SK48","Species 13",1
"2359","SN79","Species 13",1
"2360","TF07","Species 13",1
"2364","TQ15","Species 13",1
"2366","SO30","Species 10",2
"2367","ST46","Species 13",1
"2368","ST47","Species 13",1
"2369","SP50","Species 13",1
"2375","TL77","Species 13",1
"2376","TG32","Species 13",1
"2378","TM04","Species 13",1
"2385","SH76","Species 13",1
"2386","ST99","Species 13",1
"2387","TL68","Species 13",1
"2388","SU20","Species 13",1
"2389","TQ33","Species 13",1
"2391","NZ16","Species 13",1
"2393","SP37","Species 13",1
"2395","TQ35","Species 13",1
"2397","ST81","Species 13",2
"2399","SU97","Species 13",2
"2400","TR03","Species 13",2
"2401","SS59","Species 13",1
"2402","SU26","Species 13",1
"2403","SN68","Species 13",1
"2407","SP61","Species 13",1
"2408","TQ71","Species 13",2
"2409","SE70","Species 13",1
"2414","SU57","Species 13",2
"2415","SZ48","Species 13",1
"2416","SU30","Species 13",1
"2417","SU86","Species 13",2
"2419","SK91","Species 13",2
"2421","NZ15","Species 13",1
"2423","TQ09","Species 13",1
"2424","SY59","Species 13",1
"2425","SJ23","Species 13",2
"2431","TM47","Species 13",2
"2432","TL62","Species 16",2
"2433","SX88","Species 10",1
"2434","TG31","Species 13",2
"2435","NZ15","Species 13",1
"2436","SS64","Species 13",2
"2439","SU78","Species 13",2
"2440","SU92","Species 13",2
"2442","SK90","Species 13",2
"2444","TQ36","Species 13",2
"2445","ST50","Species 13",2
"2447","TR03","Species 13",1
"2451","SK91","Species 13",1
"2459","TF10","Species 13",2
"2460","SS74","Species 13",1
"2462","ST28","Species 13",1
"2464","SU26","Species 10",2
"2467","SE40","Species 13",1
"2470","SD47","Species 13",1
"2471","SS21","Species 13",1
"2473","SU18","Species 13",2
"2474","SN24","Species 13",1
"2476","SZ19","Species 13",2
"2477","SK70","Species 10",2
"2479","SU82","Species 13",1
"2480","SE72","Species 13",1
"2486","SP41","Species 13",2
"2492","NX86","Species 13",1
"2495","SU57","Species 13",2
"2496","SE77","Species 13",1
"2497","SU89","Species 13",1
"2499","TF84","Species 16",2
"2502","SP07","Species 13",1
"2503","SP61","Species 13",2
"2506","TF10","Species 10",2
"2510","SN69","Species 13",1
"2511","SU89","Species 13",2
"2514","SY59","Species 13",2
"2515","SN20","Species 13",1
"2516","SH61","Species 13",2
"2519","SJ30","Species 13",2
"2521","ST18","Species 13",2
"2524","SE50","Species 13",1
"2529","SN13","Species 13",1
"2531","TM45","Species 13",1
"2533","SU79","Species 13",1
"2534","SS58","Species 13",1
"2535","NZ80","Species 13",1
"2536","NY54","Species 13",2
"2539","SK39","Species 13",1
"2540","TR04","Species 13",2
"2542","SN57","Species 13",1
"2545","SK59","Species 13",1
"2546","SP27","Species 13",1
"2547","TQ09","Species 10",1
"2548","TQ24","Species 13",2
"2550","TF10","Species 13",2
"2552","SU91","Species 13",2
"2558","ST74","Species 13",1
"2560","SS84","Species 13",1
"2561","SP24","Species 10",1
"2562","SP37","Species 13",1
"2563","SU68","Species 13",1
"2564","SN34","Species 13",2
"2581","SJ34","Species 10",2
"2582","TL28","Species 23",2
"2583","TG50","Species 23",1
"2592","TL19","Species 23",2
"2593","TF50","Species 23",2
"2605","SE73","Species 10",1
"2607","SE73","Species 20",1
"2610","TL18","Species 20",1
"2623","SE89","Species 20",1
"2624","TL28","Species 20",1
"2625","SE74","Species 20",1
"2628","SO76","Species 10",1
"2638","TL27","Species 10",2
"2640","SO00","Species 20",1
"2646","SE73","Species 20",1
"2649","TQ05","Species 20",1
"2650","SE35","Species 20",1
"2654","TQ15","Species 20",1
"2663","SU96","Species 20",1
"2664","SO85","Species 10",1
"2668","NN86","Species 20",1
"2669","TQ16","Species 20",2
"2670","SU21","Species 20",1
"2672","SU75","Species 20",2
"2674","SK59","Species 20",1
"2678","SE89","Species 20",1
"2681","SE60","Species 20",1
"2689","SU30","Species 10",1
"2691","SE71","Species 20",1
"2692","SU95","Species 20",2
"2697","SE42","Species 20",1
"2698","SE58","Species 20",2
"2700","SU77","Species 10",2
"2706","TM13","Species 20",2
"2709","TQ33","Species 20",2
"2710","SO77","Species 20",1
"2726","SX88","Species 10",1
"2728","SK59","Species 20",1
"2730","SE73","Species 20",1
"2733","TQ15","Species 20",1
"2736","SE70","Species 20",1
"2737","NZ03","Species 48",2
"2738","SK66","Species 48",1
"2740","NY76","Species 48",1
"2743","SO94","Species 48",1
"2746","SN98","Species 48",2
"2758","NZ03","Species 48",2
"2763","SO32","Species 10",2
"2765","SK66","Species 48",2
"2774","SH64","Species 48",2
"2776","SP99","Species 16",1
"2790","SK12","Species 48",2
"2793","NH33","Species 48",1
"2798","SJ23","Species 48",2
"2801","SJ78","Species 10",1
"2805","SH67","Species 48",2
"2807","SE68","Species 38",1
"2810","SN62","Species 38",1
"2819","SK58","Species 38",1
"2820","SK91","Species 38",1
"2822","ST07","Species 38",1
"2823","SJ41","Species 10",2
"2824","TL09","Species 38",1
"2826","SE21","Species 38",1
"2829","SU59","Species 38",1
"2832","TL09","Species 38",1
"2835","SO94","Species 38",1
"2836","TQ01","Species 10",1
"2841","SJ34","Species 10",2
"2847","SO86","Species 38",1
"2848","ST53","Species 38",1
"2850","SY68","Species 38",2
"2851","SK51","Species 38",1
"2852","TQ56","Species 38",1
"2853","SE50","Species 38",1
"2854","SY89","Species 38",1
"2856","SZ29","Species 38",1
"2857","ST73","Species 38",1
"2860","SJ20","Species 38",2
"2863","TL09","Species 38",1
"2869","SE53","Species 38",1
"2871","TR13","Species 38",1
"2873","SP11","Species 38",1
"2875","SO58","Species 10",1
"2877","SU26","Species 38",2
"2881","TF00","Species 38",2
"2884","SU29","Species 38",2
"2888","TL86","Species 38",2
"2894","SU20","Species 38",2
"2895","TL51","Species 38",2
"2897","SE34","Species 38",2
"2899","TL28","Species 38",1
"2900","SO94","Species 38",1
"2902","SO90","Species 38",2
"2904","TL14","Species 38",1
"2906","SP89","Species 10",1
"2909","TQ75","Species 38",1
"2910","SP48","Species 38",1
"2913","SP31","Species 38",1
"2914","SU93","Species 38",2
"2915","TL18","Species 38",2
"2920","SP01","Species 38",1
"2923","NZ03","Species 38",1
"2928","SK93","Species 38",1
"2933","TL26","Species 38",1
"2934","SP31","Species 38",1
"2935","TL86","Species 38",2
"2937","SP37","Species 38",1
"2939","SJ34","Species 10",1
"2940","SX88","Species 38",1
"2941","ST58","Species 38",2
"2943","ST43","Species 38",1
"2944","TL17","Species 38",1
"2947","SU08","Species 10",2
"2948","TL57","Species 38",2
"2949","SO51","Species 38",2
"2950","TL18","Species 38",1
"2952","SU60","Species 38",2
"2953","SK90","Species 38",2
"2956","SZ59","Species 38",1
"2960","TL18","Species 38",1
"2962","SP48","Species 38",1
"2964","TL85","Species 38",2
"2965","SK58","Species 38",1
"2968","TG02","Species 38",1
"2969","TL14","Species 38",1
"2970","SX86","Species 38",2
"2971","SK39","Species 38",1
"2974","SU67","Species 38",2
"2976","SP00","Species 38",2
"2978","TF01","Species 38",1
"2979","SP21","Species 38",2
"2981","SU36","Species 38",1
"2982","TL09","Species 38",2
"2987","SK91","Species 38",2
"2988","SO93","Species 38",2
"2989","SP37","Species 38",1
"2991","SP41","Species 38",1
"2992","SP70","Species 38",1
"2998","SU59","Species 38",1
"3000","SO77","Species 38",1
"3001","SK66","Species 10",2
"3002","SO12","Species 38",2
"3003","SP41","Species 38",2
"3004","TL28","Species 38",1
"3006","SK70","Species 38",1
"3008","SK71","Species 10",1
"3009","TL78","Species 38",1
"3012","SU42","Species 38",2
"3013","SS53","Species 38",2
"3014","SP38","Species 38",1
"3016","SZ59","Species 38",1
"3018","TL95","Species 38",1
"3020","TL86","Species 38",2
"3022","TF00","Species 38",2
"3023","TL28","Species 10",1
"3025","SP37","Species 38",1
"3026","SP37","Species 38",1
"3029","SP21","Species 38",1
"3030","TL31","Species 38",1
"3034","SZ29","Species 38",1
"3035","SP36","Species 38",1
"3037","ST58","Species 38",2
"3039","SO24","Species 10",2
"3043","TQ24","Species 38",2
"3045","TF01","Species 38",1
"3046","SY59","Species 38",2
"3047","TL23","Species 38",1
"3050","TQ24","Species 38",1
"3051","TF10","Species 38",2
"3060","SO94","Species 38",1
"3063","TL28","Species 38",1
"3065","SU32","Species 38",1
"3068","TL17","Species 38",1
"3069","SU19","Species 38",2
"3070","SS40","Species 38",2
"3072","SJ34","Species 38",2
"3075","SP48","Species 38",1
"3077","TL17","Species 38",2
"3079","TF10","Species 38",2
"3081","SP43","Species 38",1
"3084","ST22","Species 38",2
"3086","ST12","Species 38",1
"3087","SU19","Species 38",2
"3088","TL36","Species 38",1
"3089","SP01","Species 38",1
"3090","SY88","Species 38",2
"3091","SP47","Species 38",1
"3092","SP42","Species 38",1
"3093","SK59","Species 38",1
"3103","SO63","Species 38",1
"3104","SU79","Species 38",1
"3105","SU78","Species 38",2
"3106","SP85","Species 38",1
"3107","SO04","Species 10",1
"3108","ST12","Species 38",1
"3110","SO92","Species 38",2
"3111","ST71","Species 38",2
"3112","SE68","Species 38",1
"3113","SP27","Species 38",1
"3115","SP37","Species 38",1
"3116","TQ66","Species 38",1
"3118","TQ24","Species 38",2
"3119","ST50","Species 38",1
"3121","SS94","Species 38",1
"3123","SU66","Species 38",2
"3126","SP50","Species 10",1
"3127","TQ03","Species 38",1
"3128","SE58","Species 38",2
"3129","TL28","Species 38",2
"3130","SP50","Species 38",2
"3134","ST17","Species 38",2
"3140","SU49","Species 38",2
"3141","SX88","Species 38",1
"3142","TL86","Species 38",2
"3145","SU26","Species 38",2
"3149","SO46","Species 38",2
"3151","TF10","Species 38",2
"3156","SO77","Species 38",1
"3157","TL52","Species 38",1
"3158","SS74","Species 38",1
"3159","SK39","Species 38",1
"3162","SE58","Species 38",2
"3164","SY29","Species 38",1
"3171","SY79","Species 38",2
"3172","TL57","Species 38",2
"3173","SU19","Species 38",2
"3174","SP41","Species 38",1
"3175","ST22","Species 38",2
"3177","SP48","Species 38",1
"3179","TF00","Species 38",1
"3180","SY88","Species 38",2
"3184","SP60","Species 38",1
"3185","SU42","Species 38",2
"3187","SP26","Species 38",2
"3190","TL86","Species 38",2
"3191","SK91","Species 38",1
"3194","TQ77","Species 38",1
"3195","SO16","Species 38",1
"3199","SP69","Species 38",1
"3200","SK51","Species 10",2
"3203","SO22","Species 38",2
"3207","SX79","Species 6",2
"3209","SJ43","Species 6",2
"3213","SJ78","Species 6",1
"3215","ST57","Species 6",2
"3218","SU91","Species 6",2
"3227","SO91","Species 6",1
"3228","TG01","Species 6",2
"3232","TL17","Species 10",1
"3234","SK34","Species 6",1
"3235","SP02","Species 6",2
"3238","SK39","Species 6",1
"3240","SO94","Species 10",2
"3241","SO91","Species 6",1
"3242","SO91","Species 6",1
"3244","SX16","Species 6",1
"3246","SU91","Species 6",2
"3247","SJ51","Species 10",2
"3248","SP28","Species 6",1
"3249","SP37","Species 6",1
"3250","SS74","Species 6",1
"3254","TQ42","Species 6",1
"3256","SP37","Species 6",1
"3257","SO14","Species 6",1
"3259","SO50","Species 6",1
"3261","SJ78","Species 6",1
"3263","SP31","Species 10",1
"3265","ST59","Species 6",1
"3267","NZ71","Species 6",1
"3268","SJ34","Species 10",2
"3269","SO45","Species 6",1
"3270","SE34","Species 6",1
"3271","SP47","Species 6",1
"3276","TG01","Species 6",2
"3277","SK27","Species 6",1
"3279","SK29","Species 6",1
"3280","TQ54","Species 10",2
"3281","SO14","Species 6",1
"3282","SO44","Species 6",1
"3283","SO14","Species 6",1
"3290","SP16","Species 6",1
"3291","SP01","Species 6",1
"3292","TQ32","Species 6",1
"3293","SO34","Species 6",1
"3297","SK32","Species 6",1
"3299","SU32","Species 6",1
"3304","TL28","Species 10",1
"3306","SU91","Species 6",2
"3311","TQ23","Species 6",2
"3313","SE68","Species 6",2
"3314","NY78","Species 6",1
"3315","NY76","Species 6",1
"3318","SP61","Species 9",2
"3319","SU63","Species 9",2
"3320","SP91","Species 10",1
"3321","TL87","Species 9",2
"3322","TL79","Species 9",2
"3324","SO51","Species 9",1
"3326","SU78","Species 9",2
"3327","SU94","Species 9",2
"3329","SU30","Species 9",2
"3330","SP01","Species 9",2
"3334","TQ15","Species 9",1
"3336","SK80","Species 10",1
"3339","SU75","Species 9",2
"3344","TL98","Species 9",1
"3345","SZ59","Species 9",1
"3349","TL79","Species 9",2
"3351","TM15","Species 9",1
"3352","SU33","Species 9",2
"3354","SJ78","Species 10",1
"3358","TQ86","Species 9",1
"3361","SZ48","Species 9",1
"3362","SO90","Species 9",2
"3365","SU23","Species 9",2
"3366","SU84","Species 9",1
"3369","SX48","Species 9",2
"3371","TQ14","Species 9",1
"3374","TQ47","Species 9",1
"3375","SU51","Species 9",2
"3377","SO86","Species 9",1
"3379","TF26","Species 9",1
"3380","SU93","Species 9",1
"3383","TL98","Species 9",2
"3384","ST49","Species 9",2
"3386","SZ29","Species 9",2
"3387","SK80","Species 10",1
"3388","TQ34","Species 9",2
"3389","SP99","Species 9",2
"3393","SP37","Species 9",1
"3395","SO30","Species 9",1
"3396","ST79","Species 9",2
"3397","TQ15","Species 9",2
"3398","TQ69","Species 9",1
"3399","SD47","Species 9",2
"3400","SP61","Species 9",1
"3403","SU30","Species 9",2
"3405","SU96","Species 9",2
"3409","SE58","Species 9",2
"3412","SU96","Species 9",2
"3413","SY98","Species 9",2
"3417","SU49","Species 9",2
"3418","SU51","Species 9",1
"3419","SO93","Species 9",1
"3420","ST70","Species 9",2
"3423","TL84","Species 9",2
"3428","SU91","Species 9",2
"3431","TL87","Species 9",1
"3432","SP61","Species 9",1
"3434","SX15","Species 9",2
"3435","SO77","Species 9",1
"3436","SY59","Species 9",2
"3439","TL98","Species 9",1
"3440","SK59","Species 9",1
"3443","SO90","Species 9",2
"3447","TL77","Species 9",1
"3453","SU93","Species 9",2
"3457","SU17","Species 9",2
"3459","TL79","Species 9",2
"3460","SU82","Species 9",2
"3461","SU86","Species 9",2
"3464","SU78","Species 9",2
"3465","SO77","Species 9",1
"3467","TQ44","Species 9",2
"3470","SP00","Species 9",2
"3471","SY59","Species 9",2
"3476","TL79","Species 9",2
"3477","SY59","Species 9",2
"3481","SU01","Species 9",1
"3483","SU01","Species 9",1
"3487","TR16","Species 9",1
"3489","SU30","Species 9",1
"3492","SU01","Species 9",2
"3493","SU57","Species 9",2
"3494","TL79","Species 9",2
"3496","TM15","Species 9",1
"3497","ST59","Species 9",2
"3498","SY59","Species 9",2
"3499","SU01","Species 9",2
"3501","SU21","Species 9",1
"3502","TL87","Species 9",2
"3504","TL98","Species 9",1
"3507","SU28","Species 9",2
"3508","NH91","Species 24",1
"3509","TQ14","Species 9",1
"3512","SP61","Species 9",2
"3513","SU30","Species 9",1
"3516","SU79","Species 9",2
"3519","ST69","Species 9",2
"3521","SU58","Species 9",2
"3523","SU42","Species 9",2
"3524","SU30","Species 9",1
"3525","TL99","Species 9",1
"3526","TL09","Species 9",2
"3527","SU52","Species 9",2
"3528","TL87","Species 9",1
"3534","SU89","Species 9",1
"3537","SP61","Species 9",2
"3541","SZ59","Species 9",1
"3545","SU57","Species 9",2
"3546","SY59","Species 9",2
"3547","NJ01","Species 24",1
"3549","TQ03","Species 9",1
"3550","SU87","Species 9",2
"3551","SO53","Species 9",1
"3552","TF10","Species 9",2
"3553","SY78","Species 9",1
"3554","ST93","Species 9",1
"3559","TQ01","Species 9",2
"3561","SU24","Species 9",2
"3563","TQ53","Species 9",1
"3564","TQ87","Species 9",1
"3565","SU42","Species 9",2
"3567","SY69","Species 9",2
"3572","SY98","Species 9",2
"3575","SU56","Species 9",1
"3577","SU77","Species 9",1
"3578","SU33","Species 9",2
"3581","TQ56","Species 9",1
"3582","SU78","Species 9",2
"3585","TQ57","Species 9",1
"3586","SU31","Species 9",2
"3587","SU26","Species 9",2
"3589","TF10","Species 9",2
"3590","SO62","Species 9",1
"3595","SU57","Species 9",2
"3596","TL98","Species 9",1
"3597","ST99","Species 9",1
"3598","SU67","Species 9",1
"3601","TQ76","Species 9",1
"3603","SD47","Species 9",2
"3604","TF10","Species 9",2
"3612","SY78","Species 9",2
"3613","TQ01","Species 9",1
"3615","NJ01","Species 24",2
"3616","SO95","Species 9",1
"3621","TQ66","Species 9",1
"3622","SU71","Species 9",1
"3626","SU58","Species 9",2
"3627","ST30","Species 9",1
"3629","TL22","Species 9",2
"3630","TL09","Species 9",1
"3632","TQ24","Species 9",2
"3637","TQ23","Species 9",1
"3641","TQ54","Species 9",2
"3646","SU68","Species 9",2
"3648","SU94","Species 9",2
"3649","TL52","Species 9",1
"3651","SU42","Species 9",2
"3652","SP60","Species 9",1
"3656","TQ24","Species 9",1
"3657","SP41","Species 9",2
"3660","ST11","Species 9",2
"3663","TQ26","Species 9",2
"3667","SD57","Species 9",2
"3668","TQ50","Species 9",2
"3669","SU28","Species 9",2
"3670","SO77","Species 9",1
"3676","ST53","Species 9",2
"3677","SU66","Species 9",2
"3678","SP37","Species 9",1
"3680","SU93","Species 9",2
"3684","SU30","Species 12",1
"3685","SP74","Species 12",1
"3692","SU93","Species 12",1
"3697","TQ32","Species 12",1
"3698","SU93","Species 12",1
"3699","SO77","Species 12",1
"3704","SU30","Species 12",1
"3705","TQ03","Species 12",1
"3722","SO77","Species 12",1
"3732","SK89","Species 40",2
"3736","TL98","Species 40",2
"3737","TL78","Species 16",1
"3745","TL79","Species 40",2
"3746","SS79","Species 40",2
"3747","TL89","Species 40",1
"3748","TL89","Species 40",1
"3751","SU73","Species 40",2
"3752","SS74","Species 52",1
"3761","TL88","Species 40",1
"3762","TL79","Species 40",2
"3764","TL88","Species 40",1
"3769","SU93","Species 40",1
"3770","TL88","Species 40",1
"3774","TL79","Species 40",2
"3776","TL88","Species 40",1
"3778","TF60","Species 40",1
"3779","TF70","Species 40",2
"3784","TG11","Species 40",2
"3786","TL57","Species 40",2
"3787","TL89","Species 40",1
"3796","TL52","Species 25",2
"3800","TQ68","Species 25",1
"3801","TL52","Species 25",1
"3802","SU30","Species 25",1
"3803","TQ59","Species 25",1
"3824","SU96","Species 25",1
"3826","SU21","Species 25",2
"3827","SU20","Species 52",2
"3833","SU21","Species 52",2
"3835","SU21","Species 25",2
"3836","SU11","Species 25",2
"3842","TL52","Species 25",2
"3845","TQ49","Species 25",1
"3847","SU30","Species 25",1
"3851","SU20","Species 25",2
"3858","TR04","Species 25",2
"3864","SU11","Species 25",1
"3867","SU97","Species 25",1
"3869","TQ54","Species 25",1
"3872","SU30","Species 25",1
"3873","TQ49","Species 25",1
"3879","TL16","Species 16",1
"3887","TL51","Species 25",1
"3891","SU97","Species 25",2
"3896","TR05","Species 25",1
"3902","NN28","Species 66",2
"3903","SP16","Species 33",1
"3915","NZ03","Species 33",1
"3920","SU20","Species 52",2
"3923","TM15","Species 33",1
"3925","TM15","Species 33",1
"3927","SO77","Species 33",1
"3934","SU30","Species 52",1
"3935","SU97","Species 33",1
"3944","TM15","Species 33",1
"3954","NY78","Species 33",2
"3956","NZ02","Species 33",1
"3958","SJ51","Species 33",2
"3962","SO91","Species 33",1
"3967","NZ02","Species 33",1
"3971","SJ51","Species 33",2
"3977","NY54","Species 33",2
"3985","SU20","Species 52",2
"3990","SU30","Species 52",2
"4001","SO47","Species 33",1
"4010","TQ15","Species 5",1
"4011","SO77","Species 5",1
"4013","SU94","Species 5",2
"4014","TF17","Species 16",2
"4016","SE61","Species 5",1
"4017","TQ15","Species 5",2
"4020","TQ15","Species 5",2
"4023","SP89","Species 5",1
"4027","SU19","Species 5",2
"4029","TQ77","Species 5",2
"4030","SE82","Species 5",1
"4031","SJ34","Species 5",2
"4033","TQ87","Species 5",1
"4039","SU76","Species 5",2
"4040","SO84","Species 5",2
"4043","SK60","Species 5",1
"4046","SU26","Species 52",2
"4047","SU20","Species 5",2
"4048","SP41","Species 5",1
"4052","SU30","Species 52",1
"4055","TL86","Species 5",2
"4057","SE60","Species 5",1
"4059","TQ49","Species 5",2
"4060","SU20","Species 5",1
"4063","TM15","Species 5",1
"4069","SO21","Species 5",1
"4073","SK82","Species 5",1
"4074","SU66","Species 5",2
"4076","TQ55","Species 5",2
"4078","SP36","Species 5",1
"4080","SU73","Species 5",2
"4081","SU30","Species 5",1
"4085","SO12","Species 5",2
"4086","SZ09","Species 5",1
"4087","TQ17","Species 5",2
"4088","SK82","Species 5",1
"4094","SK70","Species 5",2
"4097","SO14","Species 5",1
"4098","ST32","Species 5",2
"4099","TL28","Species 5",2
"4100","SU00","Species 5",2
"4103","SU30","Species 52",1
"4104","SP36","Species 5",1
"4105","SU49","Species 5",2
"4107","SP89","Species 5",1
"4108","TL95","Species 5",1
"4109","ST57","Species 5",2
"4112","SO84","Species 5",2
"4114","SJ78","Species 5",1
"4115","SE71","Species 5",1
"4118","TL28","Species 5",2
"4121","SO84","Species 5",2
"4124","SK90","Species 5",2
"4129","TL86","Species 5",2
"4130","ST44","Species 5",1
"4132","SU75","Species 5",2
"4133","SO46","Species 5",2
"4139","SK90","Species 5",2
"4140","TQ59","Species 5",1
"4141","SU40","Species 52",1
"4143","TQ54","Species 5",2
"4145","TL77","Species 5",1
"4146","TM15","Species 5",1
"4147","SU30","Species 5",2
"4150","SU19","Species 5",2
"4151","SK91","Species 5",1
"4154","SJ34","Species 5",2
"4156","TL66","Species 16",1
"4159","ST32","Species 5",2
"4162","SE62","Species 5",1
